2025-11-09 07:24:27|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 25/11/09 07:34, because of: EOFError. Exception info: "'Ran out of input' ~ opensubtitlescom.py@192"|
2025-11-09 07:34:42|INFO    |root                            |Using opensubtitlescom again after 10 minutes, (disabled because: EOFError)|
2025-11-09 07:34:43|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 25/11/09 07:44, because of: EOFError. Exception info: "'Ran out of input' ~ opensubtitlescom.py@192"|
2025-11-09 07:44:59|INFO    |root                            |Using opensubtitlescom again after 10 minutes, (disabled because: EOFError)|
2025-11-09 07:44:59|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 25/11/09 07:54, because of: EOFError. Exception info: "'Ran out of input' ~ opensubtitlescom.py@192"|
2025-11-09 07:55:16|INFO    |root                            |Using opensubtitlescom again after 10 minutes, (disabled because: EOFError)|
2025-11-09 07:55:16|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 25/11/09 08:05, because of: EOFError. Exception info: "'Ran out of input' ~ opensubtitlescom.py@192"|
2025-11-09 07:58:16|INFO    |root                            |Provider podnapisi throttle count 1 of 5, waiting 5sec and trying again|
2025-11-09 08:05:32|INFO    |root                            |Using opensubtitlescom again after 10 minutes, (disabled because: EOFError)|
2025-11-09 08:05:32|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 25/11/09 08:15, because of: EOFError. Exception info: "'Ran out of input' ~ opensubtitlescom.py@192"|
2025-11-09 08:11:40|INFO    |root                            |Provider podnapisi throttle count 1 of 5, waiting 5sec and trying again|
2025-11-09 08:15:46|INFO    |root                            |Using opensubtitlescom again after 10 minutes, (disabled because: EOFError)|
2025-11-09 08:15:46|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 25/11/09 08:25, because of: EOFError. Exception info: "'Ran out of input' ~ opensubtitlescom.py@192"|
2025-11-09 08:25:59|INFO    |root                            |Using opensubtitlescom again after 10 minutes, (disabled because: EOFError)|
2025-11-09 08:25:59|INFO    |root                            |Throttling opensubtitlescom for 10 minutes, until 25/11/09 08:35, because of: EOFError. Exception info: "'Ran out of input' ~ opensubtitlescom.py@192"|
2025-11-09 08:30:44|INFO    |root                            |Provider podnapisi throttle count 1 of 5, waiting 5sec and trying again|
2025-11-09 08:36:17|INFO    |root                            |Using opensubtitlescom again after 10 minutes, (disabled because: EOFError)|
